trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.95719711788671,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-111.60202068964671,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-143.27411323681557,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-96.61816983531396,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8}",25,0,-105.07264364301007,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,0,-59.546089887441624,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,0,-55.987801077017906,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",30,0,-226.63887262889887,"{0: 17, 1: 0, 2: 5, 3: 6, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,27.23042912343796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.55}",25,0,-34.52997229405008,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5}",30,0,-82.54081275467489,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",20,0,-82.08335218058956,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,6.838497047756956,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.35}",20,0,11.975232145187782,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-24.253819212095756,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",20,0,22.428636093563483,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",30,0,21.98815089472173,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",30,0,31.815707615674643,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,0,-3.705568136329532,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,22.982666850000715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,3.8482357385339325,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,24.803747008801153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,40.472575702255405,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,32.97636354435112,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,35.713866210838994,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,32.34229277713748,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,19.087633770522245,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,19.70827159492204,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,21.867813088731413,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,34.47799536594608,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
