trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1}",20,6,-53.305400617958334,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0}",20,0,-61.927277132022716,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.8, 'e': 0}",20,13,-11.399065919288127,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0}",20,7,-39.96730116056731,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0}",25,0,-186.6130928889104,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0}",25,6,-33.960438341820755,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.8, 'e': 0}",20,0,-117.23203779882553,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
8,False,"{'a': 0.8, 'e': 0}",20,13,-10.802332110689063,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0}",25,3,-81.67077748181887,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.8, 'e': 0}",25,0,-8.28026061696025,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0}",25,0,-1.947243600313369,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0}",20,0,15.910474746416316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0}",20,10,1.6621999006350427,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0}",30,11,-10.4989161314712,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0}",25,0,-13.133487825358564,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0}",20,0,-15.038556595239594,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0}",30,16,12.829046265875933,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0}",25,6,-42.94683824114429,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.8, 'e': 0}",30,0,-48.99392505262331,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0}",20,0,-12.464817642240483,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,9,6.806209076288283,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,11,-25.195347180005214,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-60.65801284798972,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,2.339205629676149,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,2,-41.73017152000542,"{0: 28, 1: 2, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,16,-10.65219366033992,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,5,28.021952163807633,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,9.633358668642988,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,7,-70.21418012988072,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",30,11,-6.100452999074772,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
