trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.999982000054}",30,0,-91.61676799805474,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9999280008639958}",25,0,-200.87428947480444,"{0: 10, 1: 5, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.9998380043739528}",20,0,-19.85582213564548,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9997120138237345}",25,0,-149.30133752989218,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.8, 'e': 0.9995500337489875}",20,2,-136.9715729689211,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 2}",1
6,False,"{'a': 0.8, 'e': 0.9993520699809768}",25,0,-235.482599596709,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 5}",0
7,False,"{'a': 0.8, 'e': 0.9991181296463766}",35,0,-188.8066072673788,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.8, 'e': 0.9988482211670138}",25,0,-122.99045349303363,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.9985423542595644}",20,0,-113.01857375932475,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.9982005399352042}",35,0,-203.80644712633688,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.9978227904992117}",20,0,-104.79813610766156,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9974091195505261}",20,0,-74.67131214700436,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.9969595419812568}",20,0,-151.23753090363377,"{0: 10, 1: 5, 2: 0, 3: 3, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.9964740739761475}",20,0,-96.1182711280165,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.9959527330119943}",25,0,-203.73041180421725,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.9953955378570153}",30,0,-81.00187672625533,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.994802508570176}",30,0,-132.6996621708655,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.8, 'e': 0.9941736665004669}",20,0,-123.23402038445089,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.9935090342861344}",25,0,-174.28994016550615,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.8, 'e': 0.9928086358538663}",25,0,-127.86261902196223,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.9920724964179307}",20,0,-167.38709864919642,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
22,False,"{'a': 0.8, 'e': 0.9913006424792677}",20,8,-89.18056705206092,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 1}",1
23,False,"{'a': 0.8, 'e': 0.9904931018245359}",20,0,-122.80929689739523,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.9896499035251115}",25,0,-63.314999416330956,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.9887710779360422}",20,0,-89.80150478538567,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
