trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9999875000260416}",30,0,-169.07817131422837,"{0: 17, 1: 1, 2: 8, 3: 3, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9999500004166653}",20,4,-140.81527394488646,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 2}",1
3,False,"{'a': 0.8, 'e': 0.9998875021093592}",30,0,-107.91064905545272,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.9998000066665778}",30,0,-231.09227533478153,"{0: 13, 1: 3, 2: 9, 3: 3, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.9996875162757026}",30,0,-190.16978308727988,"{0: 20, 1: 4, 2: 1, 3: 1, 4: 4}",0
6,False,"{'a': 0.8, 'e': 0.9995500337489875}",20,0,-143.8136893847822,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.9993875625234886}",25,0,-157.10616381239743,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.9992001066609779}",30,0,-256.0503189315491,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 6}",0
9,False,"{'a': 0.8, 'e': 0.9989876708478425}",20,0,-149.37895255728955,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.9987502603949663}",35,0,-232.83378145388014,"{0: 23, 1: 2, 2: 3, 3: 3, 4: 4}",0
11,False,"{'a': 0.8, 'e': 0.9984878812375985}",25,0,-155.40873404836526,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.8, 'e': 0.9982005399352042}",25,0,-88.70655941453589,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.9978882436713011}",20,0,-96.48095307137434,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.9975510002532796}",25,0,-101.50368327848857,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.9971888181122075}",20,0,-13.174211398425225,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.9968017063026194}",20,0,-95.50331104723003,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.9963896745022904}",20,0,-135.20047337371614,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.9959527330119943}",25,0,-42.64919307681055,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.9954908927552453}",35,0,-248.65525072803226,"{0: 17, 1: 2, 2: 10, 3: 4, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.9950041652780257}",25,0,-137.7944968329822,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.9944925627484974}",25,0,-181.93336563929753,"{0: 9, 1: 7, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.8, 'e': 0.9939560979566968}",25,0,-144.25810796236598,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.9933947843142158}",25,0,-172.33728429099904,"{0: 13, 1: 5, 2: 2, 3: 3, 4: 2}",0
24,False,"{'a': 0.8, 'e': 0.9928086358538663}",20,0,-115.78808997499502,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.992197667229329}",25,0,-168.70218381630178,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.8, 'e': 0.9915618937147881}",25,0,-252.15988529424126,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
27,False,"{'a': 0.8, 'e': 0.9909013312045479}",25,0,-90.92961471378052,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.9902159962126371}",30,0,-238.50016592109895,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0
29,False,"{'a': 0.8, 'e': 0.9895059058723947}",20,0,-87.31598078152206,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.9887710779360422}",35,0,-99.29733684335484,"{0: 26, 1: 5, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.8, 'e': 0.9880115307742399}",25,0,-94.16402886619312,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.9872272833756269}",25,1,-82.27498608369214,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 1}",1
33,False,"{'a': 0.8, 'e': 0.9864183553463477}",25,13,-73.48028489121276,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
34,False,"{'a': 0.8, 'e': 0.9855847669095608}",30,8,-132.67712289201225,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 2}",1
35,False,"{'a': 0.8, 'e': 0.9847265389049334}",25,0,-59.08304286172364,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
36,False,"{'a': 0.8, 'e': 0.9838436927881214}",20,2,-20.31220395293201,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.9829362506302315}",20,0,-203.37566909191315,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
38,False,"{'a': 0.8, 'e': 0.9820042351172703}",20,0,-50.64487610022242,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.9810476695495772}",20,0,-75.17991743673859,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.8, 'e': 0.9800665778412416}",25,0,-55.735582707196144,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.8, 'e': 0.9790609845195051}",20,0,-75.74048739492521,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
