trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1}",30,0,-88.90536806612636,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0}",30,0,-300.35652025890454,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 5}",0
3,False,"{'a': 0.8, 'e': 0}",20,0,-125.49745915969525,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0}",20,0,-140.6693979613299,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0}",20,0,-40.300006756192005,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0}",30,0,-161.3175706459111,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0}",30,0,-89.50299473953024,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0}",25,0,-98.55748711573094,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0}",25,0,-131.72941088371087,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0}",30,0,-136.46098631232354,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0}",30,0,-120.09802981935692,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0}",25,0,-226.01874752601645,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.8, 'e': 0}",25,0,-55.56304034244563,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0}",20,0,-41.22024710752406,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0}",30,0,-262.47518871349513,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
16,False,"{'a': 0.8, 'e': 0}",20,0,-132.37906128360572,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0}",20,0,-73.78855485579119,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0}",25,9,-40.39306002282973,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0}",20,3,-45.578456895341304,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0}",30,14,-22.108197959433802,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-86.30463709214214,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-107.79783915227124,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-140.232934390428,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-84.81734940462485,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,3,-81.14614895145633,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-64.74040452827978,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-121.5697926173221,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-150.41333143589372,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-231.28120011507934,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-80.8798642173294,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
